no,komentar,sentimen,confidence
222,Semangat menuju 100.000 cuma kurang 82k😍😍,Negatif,0.4763
223,Buzzer mafia dan koruptor sedang menyerang pemerintah. 🤣🤣🤣,Negatif,0.9793
224,Gassss sampe 50rb biar kaum 58% pada sadar,Negatif,0.9007
225,Semua sudah ikhlas prabowo gibran turun..gak ada perubahaan malah merosot..nyalahin antek antek asing tp gak intropeksi si tua NPD sama bocah kosong😢 MBG makin kacau tujuannya apalagi kopdes... gregetan,Negatif,0.9765
226,Pasti sampe 20an ribuan atau malah lebih kalo liat cara negara diurus kayak sekarang.,Negatif,0.9529
227,Makan solusi nya,Positif,0.9599
228,BI yg bner lu shibal,Negatif,0.971
229,50k per dollar wowo ttp joget coy 😂😂😂,Netral,0.5863
230,4w · Edited,Netral,0.8723
231,Hidup MBG Kopdes. Ok Gasss. Sampai Bubar,Negatif,0.9845
232,"Kalo mbg bubar baru itu masuk fase krisis, selagi mbg jalan berarti baik2 saja 🙏🏼🤣",Negatif,0.7309
233,Sama dengan ramalan prof ferry,Netral,0.976
234,Gk ada demo ya,Negatif,0.9849
235,"Bingung...... Bingung saja melihat keadaan pemerintah saat ini. Bangsa ini besar tapi pemimpin nya berjiwa kerdil dan bila pidato pasti ada kata2 SEPANJANG SEJARAH .... SEPANJANG SEJARAH BERDIRI NEGRI INI...... Dia lah paling hebat pemimpin di negri ini😂😂 ANEH NYA LAGI DOLLAR UDAH MENGHANCURKAN SENDI EKONOMI NEGARA INI TAPI MAHASISWA KOK BUNGKAM......??? MANA GRAKAN MORAL MAHASISWA, MN KEPEDULIAN MAHASISWA.....??? MANA AKSI MAHASISWA.....??? MN DEMO MAHASISWA ......???? 😮😮😮😂😂😂😂",Negatif,0.9969
236,Gpp... klo dh ada penjarahan bru saya yakin efek dari dolar naik,Negatif,0.8108
237,"Sekalinya jd Presiden, amburadulllllll",Negatif,0.9936
238,"Gassss, rupiah ke 50 ribu 😂😂",Netral,0.9909
239,@prabowo mau kabur lagi ke yaman yah sekarang,Negatif,0.9894
240,Kata Jokowi obligasi itu apa?,Negatif,0.7544
241,Target $1 = Rp.50.000.,Netral,0.9913
242,Apbila suatu urusan di serahkan kpda yg bukan ahlinya maka tunggu saja kehancuranya,Negatif,0.9771
243,Tinggal pindah ke Yuan jangan pake dolar lagi,Negatif,0.8766
244,Ya mungkin dg cara ini yg bisa menumbangkan pemerintahan seperti thn 98,Positif,0.6299
245,"Rupiah bisa berfluktuasi, tapi persatuan kita harus tetap stabil. Jangan biarkan kepanikan mengadu domba, dan jangan jadikan saudara sebagai tempat menyalahkan *Gotong royong adalah tampan terbaik saat ekonomi bergejolak. Perdamailah perbedaan, tolak hasutan, dan jaga tali silaturahmi* *Bangsa yang kuat tidak diukur dari mata uangnya, tapi dari cara warganya saling melindungi saat sulit. Mari bersatu, bukan terpecah 😊",Positif,0.886
246,terima kasih prabowo,Positif,0.9616
247,Prabowo tau ga sih dia mesti ngapain? Atau tetap keras kepala dg mbg dan kopdes merput nya?,Negatif,0.7254
248,ngotot mbg.....bangkrut negaramu...😂😂😂😂,Negatif,0.9975
249,Menuju indonesia bubar 😂😂,Negatif,0.9759
250,Impor harus ditutup,Negatif,0.5204
251,Ngerii sih inih,Negatif,0.9978
252,"ATH gess, otw 17.845 ini",Netral,0.9973
253,Punya presiden cuma bisa pidato mana jelek lagi pidatonya,Negatif,0.9981
254,Katanya fundamental bagus tapi rakyat sudah mulai merasakan berat dengan kenaikan semua harga barang,Negatif,0.9376
255,Duit Masih Banyak Kata @prabowo,Negatif,0.9823
256,"Alhamdulillah semoga secepatnya tembus 30 ribu,biar rakyat oksedus besar besaran keluar negeri jadi TKI, harapan besar terbuka untuk penghasilan TKI.",Positif,0.5567
257,Jogetinja ok gas ok gas 😂,Netral,0.764
258,Aamiin.. Kencangkan sabuk pengaman.. Kita akan terbang menuju bulan.. Menuju 22.000,Netral,0.965
259,BODO AMATTT YANG PENTING MBG TERUSSSS JALANNN... SUPAYA BANGSAT2 PIARAAN SI WOWOK ANTENG,Negatif,0.9977
260,Menuju Indonesia maju 2030😂😂😂,Positif,0.8503
261,Lah pak purbaya sdh bilang santai ssja sdh di mitigasi he he,Netral,0.8987
262,Presiden & semua pejabat2 layak diganti ... bila ga mampu selesaikan masa krisis negara ...,Negatif,0.982
263,PEMERINTAHANN AMBURADULLLPEMERINTAHANN JAHANAMMM!!!!,Negatif,0.9957
264,Klu sdh 20.000 alasan penguasa Indonesia apa ya?,Negatif,0.9215
265,Ah Iran bisa ko tetap survive walau dengan mata uang yg lemah.,Negatif,0.8958
266,Jika 22 rb...semua pabrik tutup... phk masal... inflasi... trus konoha gelap... lalu mau alasan apa si wowo n gub bi,Negatif,0.9859
267,Itu yg wowo mau sama rezimnya biar pundi pundi simpanan dolarnya melonjak,Negatif,0.9739
268,"Gpp, porto saya amaan 👏",Negatif,0.4102
269,"Gausah dilebih-lebihkan, tapi ini memang melebihi batas 😞",Negatif,0.8667
270,Yang penting MBG dan kopdes nya jalan,Positif,0.8529
271,Insya Allah pas Juli udah 30 ribu. 👏,Netral,0.9132
272,"rakyat bantu pemerintah, tapi pemerintah memeras rakyat",Negatif,0.9949
273,GAK MASALAH.. GAK ADA NGARUH DI HIDUP GUE . MAU 30RB 40RB 50RB..,Negatif,0.8179
274,Saya akan pertaruhkan jabatan demi MBG😂,Netral,0.8386
275,Besok 22 rb. 17 agustus 100rb,Netral,0.9914
276,Awas pak nanti ditangkep. Kena kasus membuat gaduh negara.,Negatif,0.997
277,Ngeri bosss 😮,Negatif,0.9917
278,Selama MBG dihidupkan.rupiah mau brpa pun GK peduli mereka,Negatif,0.9935
279,Tapi mbg harus terus berjalan😢,Netral,0.623
280,Yg gajinya dolar smilee😒😒,Netral,0.5245
281,jika tidak ada demo besar brti masih aman dolar to rupiahnya🔥,Netral,0.8402
282,"Biar ajalah....mau 100,000 perdolar, yang penting mereka senang duduk di kekuasaan",Negatif,0.7846
283,""".....masih cukup bagus...."", bangke bangkeee 👏",Negatif,0.9934
284,"@prabowo @gibran_rakabuming kerjaaa yg bnr donk woyyy!! Ngapain ajh sih kelean rupiah smpai gk ada harganya ginii!!! Kl gk sanggup, turun woyyy!!",Negatif,0.9641
285,"Skemanya begitu,mereka kaya tgl pindah LN negara d ambil org masa bodoh jd skrg gemukin simpanan 😂",Negatif,0.9894
286,kesombongan pemerintah di bayar tunai,Negatif,0.9871
287,MBG Kopdes tetep jalan nih?,Positif,0.873
288,"Dengan terus melemahnya nilai tukar rupiah berpotensi memicu kekacauan sosial atau ketidakstabilan rakyat jika tidak dikelola dengan baik. Pelemahan rupiah yang signifikan membuat biaya impor barang meningkat, yang berdampak langsung pada kenaikan harga kebutuhan pokok, transportasi, dan energi.",Negatif,0.4281
289,"rumahnya belum roboh, tapi temboknya mulai retak dan orang mulai khawatir.",Negatif,0.9859
290,"Alhamdulillah 🤲🤲🤲🤲,sing penting artikulasi nya yang jelas , hidup MBG",Positif,0.9077
291,"Klu lihat situasi masyarakat di kampung ,santai""saja,mau rupiah anjlok kayak gak peduli.",Negatif,0.9965
292,"Kalau obligasi 90 persen yg beli orang kita sendiri, kalau gagal bayar apa gak ambruk ekonominya? Mohon penjelasan",Negatif,0.5453
293,"kok nakutin sih, dasar antech async.",Negatif,0.9974
294,Jika sampai 22 rb Indonesia Collapse,Netral,0.9071
295,akankah Indonesia kebali menjadi masa di era 90 an?? kita liat sejauh mana rakyat bisa bertahan dengan kekacauan yang pemerintah buat,Negatif,0.9514
296,Jangan dongg 😢,Negatif,0.9956
297,Kemaren aku #BERMIMPI malah menjadi 19.700,Netral,0.9896
298,"Tolak pembayaran rupiah kertas toilet sampah ribawi laknatulah yang terus menerus merosot tajam daya belinya, biang kerok kemiskinan rakyat Indonesia.... bubarkan bank sentral Indonesia, institusi setan ribawi dajjal laknatulah yang sangat zholim menindas rakyat kecil dengan pemaksaan penggunaan uang kertasnya",Negatif,0.9965
299,22k apa ke 100k😂,Netral,0.8792
300,otw 50ribu juga tembus klo rezimnya kyk gini,Positif,0.7683
301,Tahan dlu smpai tembus 20rb …,Netral,0.7577
302,"DISURUH EVALUASI GAK NIAT , DIKRITIK MALAHAN DIKATAIN KUDETA . 🤣🤣🤦‍♂️🤦‍♀️",Negatif,0.9939
303,Investasi minyak goreng mumpung harganya naik Mulu,Negatif,0.9015
304,"Tenang saja, sebentar lagi akan jatuh 5000 rupiah per dollar",Netral,0.9546
305,Kurs USD 22rb priced in @setiantobs 😂,Netral,0.9936
306,Mau sampai kurs 100ribu pun MBG tetap jalan dulu,Netral,0.9261
307,cepatlah 22k biar ganti rezim,Negatif,0.9462
308,Resiko terburuk yaudah 🇮🇩 bubar 2026 😂,Negatif,0.8289
309,Langkah nyata harus dijalankan🔥,Netral,0.9735
310,Wowo & wiwi,Positif,0.9316
311,Yuk bisa yuk,Netral,0.9813
312,Kita PESTA BABI 😂,Negatif,0.9961
313,Amann amannn katanyaa..,Positif,0.9041
314,"Gpp..biar yg ngmg 'dollar naek gangaruh bwt hidup gw"" pada tiarap",Negatif,0.9639
315,"Jaman goro goro sebelum satrio piningit/hidden knight lan Ratu Srengenge muncul ke permukaan, satrio piningit pembawa kedigdayaan Nusantara lan Ratu Srengenge ngatur jalane pemerintahan. Gile Nubuat Jayabaya ngeri banget buat Nusantara, satrio piningit atau ksatria tersembunyi jadi dewa perang Nusantara dan Ratu Matahari jadi pengatur jalannya pemerintahan Nusantara Raya. Indonesia jadi negara superioritas perang selanjutnya, pantes dulu ada Angkatan Perang Ratu Adil. Nubuat Jayabaya bikin Indonesia jadi superior Nusantara.",Negatif,0.8033
316,Rakyat Indonesia gak makan dollar. Makannya MBG. HIDUP JOKOWI!!!,Negatif,0.9898
317,Selama kita msih bsa tingkatkan SDM kuat & mengurangi ketergantungan barat.. maka kita akan msih baik² saja sprti iran,Positif,0.4423
318,"Ga apa apa, selama masih ada rejeki dari Allah, aman aman saja.",Positif,0.9682
319,Program MBG jalan terus sampai KIAMAT kek slogan warung madura,Negatif,0.9888
320,Duh belum 2 tahun ini masih lama 5 tahun bisa anjur 😂,Negatif,0.9884
321,Hancurrkannn indonesiaaaa 🔥🔥🔥,Negatif,0.9934
322,Negara kaya dikelola banyak pejabat ODGJ 😢😢,Negatif,0.8352
323,Hei orang - orang pinter ucap ceo mbg😂😂,Netral,0.5047
324,Eaaaa. Sedngkan gaji gak naik2.,Negatif,0.6675
325,"TENANG , SEBENTAR LAGI 5.000 SESUAI TARGET PRABOWO ...😂",Netral,0.9756
326,Bubar aja bubar,Negatif,0.9973
327,"Mau impor pake dollar, pake yuan, pake ringgit, pake yaman rial, melemah semua lah 😂",Negatif,0.9359
328,Go ..go.. 25rb😂,Netral,0.5929
329,Jadi bubar ga indonesia??,Negatif,0.9965
330,"Dengan kinerja pak prabowo yang buruk, boros anggaran untuk MBG, hukum tidak jelas sehingga investor takut, sangat mungkin rupiah terus menurun",Negatif,0.9978
331,Akhirnya menjelang bubar😮,Netral,0.9283
332,Indonesia telah di pimpin oleh org2x yg bodoh dan tolol...,Negatif,0.9979
333,"Makin panik warga Konoha....semakin panik, semakin cepat kolaps Prabowo, yg skrg ketawa2 dan siap2 mau naik jd presiden si Fufufafa 😂",Negatif,0.9737
334,Ganti rezim ya Allah😢,Negatif,0.9662
335,"Tenang saja duit kita masih banyak ,fiskal kita bagus😂😂😂",Netral,0.4261
336,Semua bisa diatasi dengan MBG,Positif,0.5231
337,Menuju Indonesia bubar lebih cepat 🙌,Negatif,0.6579
338,Semoga target 25rb segera tercapai... Agar mudah mencapai target yang lebih tinggi 😂😂😂,Netral,0.6098
339,Semangat bisa sentuh 30 RB 👏👏👏👏👏,Netral,0.9375
340,"Gue gabisa jajan game woi, makin mahal anj",Negatif,0.9849
341,Klo bisa 100.000 per Dollar 🔥🔥🔥,Netral,0.9742
342,Dan rakyat Indonesia masih sabar tapi sabar ada batasnya..harapan bangsa ini ada tangan gen Z🔥🔥🔥,Positif,0.6731
343,Prabowo gak tau solusi apa yahh. Seperti habibie dlu,Negatif,0.9961
344,Euro simpat tembus 21 negara-negara nya santai aja 😂😂😂,Netral,0.9902
345,Mntap pak @prabowo mau tembus 18 ribu ... 🔥🔥🔥🔥fokus mbg aja.. Proyek bgus,Netral,0.6275
346,Bajingan penculik dan pembunuh kok dijadikan presiden,Negatif,0.997
347,"25 k pun kaum 58 ttap Ng paham 😂..,.....",Netral,0.529
348,Musik ok gas ok gas tambah lagi kita gas,Negatif,0.7773
349,Cuma segelintir mahluk2 yg terafiliasi mbg yg nikmati pertumbuhan ekonomi hari ini. Sisa puluhan juta lain nya jadi tai,Negatif,0.9915
350,Jangan bikin resah brita2 apa?,Negatif,0.9948
351,Hmmm...ini seperti pembiaran dari awal...sehingga dgn nilai yg under valued jadi lebih berat ...harus ada usaha yg lebih keras dari pemimpin....,Negatif,0.9083
352,Solusinya joget 😂,Netral,0.464
353,MBG TETAP BERJALAN SEMUA AMAN,Positif,0.9657
354,"Pasti terjadi, tinggal tunggu waktu",Netral,0.9138
355,Indonesia menuju zimbabwe,Netral,0.9943
356,Prestasi yg luarbiasa menurut para pemilih nya .. wkwkwkwkwkwkw tp ujung ujung nya pd ngarep bansos ..wkwkwkwwkwkwkwk.. itulah penting nya berakal sehat waras cerdas pintar dalam memilih ..,Positif,0.9857
357,Dalang utananya PRABOWO,Netral,0.8319
358,Selamat warga 58,Netral,0.6592
359,Saya doakan semoga cepet 98 lagi,Positif,0.9501
360,Tidak apa apa agar masyarakat kita lebih pintar dan kritis lagi . Jdi harus seperti ini.,Negatif,0.991
361,Gas to the moon 🔥🔥🔥,Netral,0.9012
362,Rezim bajingan jendral yolol bin dungu laknat sebentar lagi rontok!!! Amiiiiiin!,Negatif,0.9969
363,Presiden jogetin ajahhhhh,Negatif,0.9675
364,"Di daerahku udah mulai banyak maling motor, seminggu 2 kali panen dan berhasil",Positif,0.5613
365,Kalo rupiah terpuruk jual pulau aja,Negatif,0.9924
366,Bodo amaaatttt pasrah aja Ama yg maha kuasa smua yg terjadi atas kehendak ilahi mau gimana LG org kecil begini bisa apa,Negatif,0.9957
367,WOW🔥🔥 JOGED in aja katanya😂,Negatif,0.7248
368,Feri Latuhini sudah memprediksi ini dan si bebal beserta kroco nya ga terima,Negatif,0.9692
369,Hidup Jokowi 😂😂😂kata si omon omon ...,Negatif,0.969
370,Gas sampai 170845 😂😂😂😂,Netral,0.9859
371,Semoga 100 ribu per dolar😂. Hidup jokowi😂,Netral,0.5338
372,Hanya perasaan kalian aja 😢,Negatif,0.5302
373,Msh bagus??? OMG fundemental apa 22rb itu sdh masuk negara bangkrut!! Msh aja di belain pemerintah gagal 🔥,Negatif,0.9829
374,Tenang ada Prabowo sm Letkol Teddy…. Tar jg d kasih Kue Ultah ekonomi meroket lg (meroket kebawah),Netral,0.7458
375,"Keturunan cina ""HASIL PEMILU CURANG YANG BERKELANJUTAN TIDAK BISA DIPERCAYA...SUDAH PIKUN OTAK LEMOT BICARA BOHONG...PINTAR MEMBODOH BODOHI RAKYAT BODOH DAN GOUBLOK...YANG PINTAR TAKUT MATI DIBUNUH JIKA MELAWAN DAN MENANTANG...BANGSA DAN NEGARA INI DIJAJAH DARINDALAM DAN DARI LUAR...PELAKU UTAMANYA YA KETURUN CINA YANG CARI KEKAYAAN DI BUMI INDONESIA INI ...""...INI SANGAT BENAR DAN TERANG BENDERANG LHO...KETURUNAN CINA ITU SANGAT LICIK...MENGHALALKAN YANG HARAM HARAM...JIKA BICARA RAMEI SEPERTI PASAR...BERISIK...SANGAT SOMBONG...SANGAT ZALIM...SANGAT BIADAB...SANGAT TIDAK PUNYA ADAB...",Negatif,0.995
376,"Rakyat beratt woyyy,, barang2 pasti mahal nih,, ayoh donkkkk kerja bikin turun lagiiiii",Negatif,0.9952
377,Kondisi rupiah saat ini adalah bukti ekonomi bangsa telah salah urus bung. Hampir semua nilai tambah dinikmati bangsa asing ( twit pascabowo 2013),Negatif,0.5322
378,@gerindra Sesak nafas gak nih 😂,Negatif,0.9775
379,Wah bisa lebih rendah dari uang dong vietnm,Negatif,0.9925
380,Ujung2nya rakyat yg menanggung derita. Kalangan elit pd kabur😂,Negatif,0.901
381,Dari penurunan rupiah yg sangat tajam.. bukan hal yg tidak mungkin sih ke angka 20rbuan😢,Negatif,0.4515
382,Naik kan terus pantang mundur,Positif,0.9178
383,Tambahkan aja MBG nya biar terasa asin😂,Netral,0.8864
384,Yeay..jogetin aja kata kaum 58 %😂,Negatif,0.9311
385,Bagus deh dollar sampai 22 rb biar paket Prabowo dan Gibran jatuh dan berhenti program mbg dan kopdes,Negatif,0.5436
386,Yuk bisa otw 20rb perdolar 😂😂,Netral,0.9958
387,50 ribu juga akan ok gas🔥🔥,Netral,0.7973
388,Mo sampai 100rb juga kami tetap idup 😂😂😂 gas lah,Netral,0.8971
389,Senang berkenalan dengan anda,Positif,0.9904
390,"Biar aja kalau perlu 50 ribu sekalian,, biar bubar ,, mau liat aku akun buzzer masih dukung kah atau pura"" tolol",Negatif,0.9976
391,Lebih parah dr covid🔥,Negatif,0.997
392,MBG tetap harus jalan apapun terjadi 😂,Netral,0.6427
393,"Wuih, Rp makin turun Emiten ane makin Cuan Luber🤭 yang ngikutin Post ane harusnya tau... 🤫",Negatif,0.8223
394,Ok gas ok gas,Negatif,0.6707
395,Santai saja uang kita masih banyak kata mbah wo,Negatif,0.9554
396,Selain MBG ga penting kata si bowo wowkwok,Negatif,0.9915
397,BAGI PEJABAT NEGARA YG MEMILIKI DOLAR PASTI SENYUM2,Positif,0.9728
398,Kemarin berisiko menuju 20 ribu hari ini bisa menuju 22 ribu,Netral,0.9957
399,Dan pemerintah masih tidak mau mengakui kegagalanya,Negatif,0.9912
400,"Mau komen takut di bilang ""MATANYA BUREM""",Negatif,0.9976
401,25 jg gpp.,Netral,0.9394
402,MBG lebih utama yg penting🔥,Netral,0.584
403,Disaat harga-harga kebutuhan pokok naik.. Maka masyarakat baru terbangun dari bobo'nya dan bilang aku kageeett,Negatif,0.554
404,Alhamdulillah. Semoga naik 22k lalu 25k,Positif,0.5732
405,Jgn sampe ke 20 ribu deh. Amit amit,Negatif,0.9504
406,Prestasi si Gemoy,Positif,0.9924
407,"Saya sebagai teknisi lemasss , ngarit ae.",Negatif,0.9946
408,Infonya bisa tembus 20,Positif,0.5342
409,Yu bisa yu 20k,Netral,0.9958
410,Mosi tdk percaya pd pemerintahan prabowo,Negatif,0.9932
411,"Lebih cepat lebih baik, sesuai janji CEO Indonesia bubar 2030",Positif,0.8372
412,mampuss...negara byk manusia anji...koruptor,Negatif,0.9978
413,MBG harus tetap jalan...????. 🔥🔥,Netral,0.6694
414,"Fundamental ekonomi kuat buat kalangan atas, rakyat menengah ke bawah megap2, hampir semua kebutuhan dari Import, harga2 udh bisa dipastikan naik, kuat pala lu peyang ah",Negatif,0.7024
415,Gpp yg bisa pting jl2 ke luar negeri.. 😂,Negatif,0.5691
416,Kayaknya pemerintah lagi main forex makanya harganya melambung tinggi sampai bitcoin pun tertunduk sujud melihatnya 😂😂😂,Negatif,0.8498
417,Wkkwkwk gubernur BI aman,Positif,0.963
418,Cb bilangin sm presiden di sebelah suruh berhenti yg main presiden2an.,Negatif,0.9874
419,Kerjanya ngapain pak @prabowo,Negatif,0.9836
420,Aku udah benci sama ceo itu ngerasa bener dampaknya sekarang,Negatif,0.9978
421,"Jangan panic lah.. uang Kita banyak, artinya Indonesia kuat... Bukan begitu Pak presiden @prabowo",Negatif,0.9721
422,Yg penting MBG dn koprasi merah putih,Netral,0.7368
423,mari kita bertemu lagi diagustus kamerad,Netral,0.9405
424,wok mundur wok.,Negatif,0.9967
425,koq bs tembus 22rb trus fundamntal ekonomi diblg masih baik??,Negatif,0.7034
426,Siap siap deh 1998,Positif,0.9888
427,investor luar kabur dan rakyat Indo kabur ke emas atau mata uang lain,Negatif,0.9486
428,"Tunggu ada pemimpin d negeri ini melepas dollarnya he-he-he 😂 SBY, Mega , Jokowi , Anies, Prabowo dsbnya",Netral,0.8262
429,Blm adakah pejabat terkait yg mengundurkan diri? Sepertinya sdh gak ada malunya,Negatif,0.9859
430,"Kata pak mentri ""ekonomi kita baik-baik saja"" berdasarkan pengamatan beliua di CFD 🔥🔥🔥",Netral,0.7818
431,"Euro , yen , emas dsb semua ke banting dollar .. tp sebenarnya tnggl d nikmati aja karena ini situasi global .. yang terpenting domestik aja .. stop impor dulu ekspor kencengin pemenuhan dalam negeri harus full terpenuhi terlebih dahulu ..minyak goreng , beras, pupuk dsb baru silahkan ekspor",Negatif,0.8721
432,Sekalinya naik apakah bisa turun drastis?,Negatif,0.8768
433,Gara-gara zionis Israel,Negatif,0.9937
434,Lihat USD perkasa banget ngeri emas aja kebanting telak,Negatif,0.927
435,25 ribu 1 dollar prof said,Netral,0.987
436,8 comments from Facebook,Netral,0.9947
437,English Down chevron icon Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España) Español فارسی Suomi Français עברית Bahasa Indonesia Italiano 日本語 한국어 Bahasa Melayu Norsk Nederlands Polski Português (Brasil) Português (Portugal) Русский Svenska ภาษาไทย Filipino Türkçe 中文(简体) 中文(台灣) বাংলা ગુજરાતી हिन्दी Hrvatski Magyar ಕನ್ನಡ മലയാളം मराठी नेपाली ਪੰਜਾਬੀ සිංහල Slovenčina தமிழ் తెలుగు اردو Tiếng Việt 中文(香港) Български Français (Canada) Română Српски Українська,Netral,0.8435
438,Down chevron icon,Netral,0.7242
439,© 2026 Instagram from Meta,Netral,0.9966
